time,cluster,data
NO.0,5,0.0,-63.0,-59.0,0.0,44.0,-16.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.1,5,2.0,-37.0,-38.0,-30.0,0.0,-47.0,0.0,-11.0,37.0,-66.0,-48.0,19.0,-36.0,-18.0,-29.0,54.0,27.0,0.0,-1.0,0.0,0.0,10.0,19.0,0.0,-37.0,-18.0,10.0,-48.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.2,5,0.0,-28.0,-14.0,0.0,14.0,-14.0,0.0,0.0,14.0,-28.0,14.0,56.0,-42.0,-56.0,-70.0,-14.0,0.0,14.0,0.0,0.0,0.0,-14.0,-14.0,0.0,28.0,28.0,0.0,0.0,-14.0,-14.0,-14.0,0.0,0.0,0.0,0.0,0.0
NO.3,5,5.0,-10.0,-12.0,29.0,14.0,-26.0,-9.0,23.0,59.0,-23.0,-15.0,7.0,2.0,0.0,-10.0,-2.0,-2.0,-2.0,-4.0,9.0,11.0,15.0,13.0,12.0,15.0,16.0,8.0,-9.0,-4.0,15.0,-15.0,-12.0,-4.0,0.0,-4.0,-8.0
NO.4,5,0.0,14.0,-28.0,28.0,0.0,-28.0,0.0,0.0,28.0,-84.0,-42.0,14.0,-14.0,-28.0,-42.0,-28.0,-14.0,0.0,-14.0,-14.0,-28.0,-42.0,-14.0,14.0,42.0,56.0,28.0,0.0,0.0,28.0,-28.0,-28.0,-14.0,0.0,0.0,-14.0
NO.5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,-29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.0,-29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.6,5,0.0,28.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.0,-28.0,0.0,-28.0,-28.0,-28.0,-56.0,-28.0,0.0,0.0,0.0,28.0,56.0,28.0,-28.0,0.0,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.7,5,57.0,86.0,29.0,170.0,84.0,84.0,-28.0,29.0,0.0,-28.0,-56.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,56.0,28.0,28.0,-28.0,-56.0,-28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.8,5,-8.0,20.0,23.0,19.0,9.0,17.0,3.0,-2.0,-6.0,-46.0,-30.0,-6.0,-9.0,-6.0,-7.0,12.0,9.0,6.0,4.0,19.0,18.0,25.0,10.0,3.0,-3.0,-1.0,1.0,-12.0,-2.0,5.0,-1.0,-6.0,0.0,0.0,-1.0,-6.0
NO.9,5,-2.0,-2.0,8.0,4.0,3.0,-2.0,0.0,2.0,7.0,-6.0,-3.0,0.0,-6.0,-3.0,0.0,12.0,6.0,0.0,-4.0,2.0,4.0,-4.0,-8.0,1.0,0.0,1.0,3.0,0.0,-2.0,6.0,-4.0,0.0,0.0,0.0,-2.0,0.0
